block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30698.453125,50652449,0.006213,18.699820,18.699898,0.006283,51231,0.118510,801,0.002953,601943.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,601940.875000,9.589651,200.000000,0.003530,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30908.857422,50999618,0.006171,18.575426,18.575502,0.006240,51239,0.123736,801,0.003028,602037.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602034.875000,9.525860,200.000000,0.003506,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30912.894531,51006275,0.006170,18.574087,18.574165,0.006239,51242,0.123777,801,0.003041,602072.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602070.125000,9.525173,200.000000,0.003506,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30603.835938,50496328,0.006225,18.737862,18.737940,0.006295,51177,0.118222,800,0.003276,601308.875000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601306.375000,9.609159,199.750000,0.003537,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.990234,50565883,0.006224,18.736219,18.736298,0.006294,51243,0.118148,801,0.003299,602084.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602081.875000,9.608317,200.000000,0.003536,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30819.503906,50852181,0.006189,18.627827,18.627905,0.006258,51235,0.120213,801,0.003024,601990.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,601987.875000,9.552732,200.000000,0.003516,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30830.917969,50871014,0.006186,18.620567,18.620644,0.006256,51234,0.120521,801,0.003042,601978.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,601976.125000,9.549009,200.000000,0.003515,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30701.466797,50657421,0.006205,18.674992,18.675068,0.006275,51168,0.120403,800,0.002941,601203.125000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601200.625000,9.576919,199.750000,0.003525,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30743.505859,50726786,0.006204,18.674604,18.674683,0.006274,51237,0.120615,801,0.002948,602013.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602011.375000,9.576720,200.000000,0.003525,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.591797,50565227,0.006224,18.732441,18.732519,0.006294,51232,0.118088,801,0.002917,601955.125000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,601952.625000,9.606380,200.000000,0.003536,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30613.687500,50512585,0.006223,18.729269,18.729347,0.006293,51170,0.118244,800,0.002939,601226.625000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601224.125000,9.604753,199.750000,0.003536,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30678.890625,50620170,0.006217,18.715761,18.715839,0.006287,51242,0.117918,801,0.002916,602072.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602070.125000,9.597827,200.000000,0.003532,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30685.679688,50631373,0.006216,18.712715,18.712797,0.006286,51245,0.118080,801,0.002932,602107.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602105.375000,9.596264,200.000000,0.003532,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.177734,51072746,0.006162,18.551363,18.551439,0.006231,51246,0.123767,801,0.002964,602119.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602117.125000,9.513519,200.000000,0.003501,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30895.650391,50977826,0.006166,18.562695,18.562771,0.006235,51182,0.123851,800,0.002969,601367.625000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601365.125000,9.519330,199.750000,0.003503,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31080.937500,51283549,0.006137,18.475828,18.475904,0.006206,51248,0.128731,801,0.003067,602143.125000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602140.625000,9.474783,200.000000,0.003487,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31090.421875,51299196,0.006135,18.469831,18.469908,0.006204,51247,0.128987,801,0.003072,602131.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602128.875000,9.471708,200.000000,0.003486,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30719.535156,50687233,0.006201,18.668747,18.668827,0.006271,51181,0.118391,800,0.003098,601355.875000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601353.375000,9.573717,199.750000,0.003523,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30757.619141,50750071,0.006201,18.671137,18.671213,0.006271,51251,0.118321,801,0.003112,602178.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602175.875000,9.574942,200.000000,0.003523,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30768.361328,50767795,0.006199,18.662796,18.662872,0.006269,51246,0.119968,801,0.002983,602119.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602117.125000,9.570664,200.000000,0.003522,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30772.078125,50773929,0.006198,18.663090,18.663168,0.006268,51253,0.120156,801,0.002996,602201.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602199.375000,9.570815,200.000000,0.003522,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30629.302734,50538348,0.006219,18.722649,18.722727,0.006289,51178,0.117876,800,0.003015,601320.625000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601318.125000,9.601358,199.750000,0.003534,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30668.552734,50603110,0.006219,18.721706,18.721783,0.006289,51241,0.118002,801,0.003026,602060.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602058.375000,9.600875,200.000000,0.003534,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30737.216797,50716406,0.006205,18.684624,18.684700,0.006275,51254,0.118290,801,0.003130,602213.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602211.125000,9.581859,200.000000,0.003526,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30694.189453,50645411,0.006206,18.686722,18.686798,0.006276,51188,0.118265,800,0.003152,601438.125000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601435.625000,9.582934,199.750000,0.003526,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30722.796875,50692614,0.006208,18.690474,18.690552,0.006278,51246,0.117884,801,0.003008,602119.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602117.125000,9.584858,200.000000,0.003527,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30735.056641,50712843,0.006206,18.686298,18.686375,0.006276,51255,0.118100,801,0.003031,602225.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602222.875000,9.582717,200.000000,0.003526,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30778.662109,50784790,0.006197,18.661283,18.661360,0.006267,51259,0.122514,801,0.002977,602272.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602269.875000,9.569889,200.000000,0.003521,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30740.603516,50721996,0.006197,18.662514,18.662592,0.006267,51199,0.122475,800,0.002999,601567.375000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601564.875000,9.570519,199.750000,0.003521,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30757.359375,50749643,0.006201,18.675301,18.675379,0.006271,51262,0.120129,801,0.003094,602307.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602305.125000,9.577077,200.000000,0.003523,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30766.765625,50765164,0.006199,18.671413,18.671490,0.006269,51267,0.120365,801,0.003113,602366.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602363.875000,9.575084,200.000000,0.003522,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30672.111328,50608985,0.006211,18.707842,18.707918,0.006281,51209,0.118839,800,0.003099,601684.875000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601682.375000,9.593765,199.750000,0.003529,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30710.695312,50672649,0.006211,18.704771,18.704847,0.006281,51265,0.118913,801,0.003126,602342.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602340.375000,9.592190,200.000000,0.003529,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30791.621094,50806177,0.006194,18.657068,18.657145,0.006264,51269,0.121147,801,0.002978,602389.875000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602387.375000,9.567727,200.000000,0.003520,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30798.656250,50817784,0.006193,18.657536,18.657614,0.006263,51282,0.121253,801,0.003001,602542.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602540.125000,9.567966,200.000000,0.003519,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30650.410156,50573177,0.006215,18.727303,18.727381,0.006285,51226,0.118007,800,0.002916,601884.625000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601882.125000,9.603745,199.750000,0.003531,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30692.154297,50642055,0.006214,18.726662,18.726738,0.006284,51294,0.118226,801,0.002922,602683.625000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602681.125000,9.603416,200.000000,0.003531,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30684.474609,50629384,0.006216,18.736094,18.736172,0.006286,51307,0.117804,801,0.002916,602836.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,602833.875000,9.608253,200.000000,0.003532,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30700.570312,50655939,0.006213,18.740871,18.740948,0.006283,51347,0.118100,801,0.002929,603306.375000,202.250000,NA,NA,NA,NA,NA,NA,NA,NA,603303.875000,9.610703,200.000000,0.003530,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30673.046875,50610526,0.006211,18.790932,18.791010,0.006281,51438,0.119328,800,0.002936,604375.625000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,604373.125000,9.636375,199.750000,0.003529,
